Funciones;Sexo;Edad;Periodo;Total
Tasa de mortalidad;Ambos sexos;2;2020;0,104165
Tasa de mortalidad;Ambos sexos;2;2019;0,135425
Tasa de mortalidad;Ambos sexos;2;2018;0,105821
Tasa de mortalidad;Ambos sexos;2;2017;0,113858
Tasa de mortalidad;Ambos sexos;2;2016;0,127973
Tasa de mortalidad;Ambos sexos;2;2015;0,131822
Tasa de mortalidad;Ambos sexos;2;2014;0,149154
Tasa de mortalidad;Ambos sexos;2;2013;0,161413
Tasa de mortalidad;Ambos sexos;2;2012;0,161957
Tasa de mortalidad;Ambos sexos;2;2011;0,147778
Tasa de mortalidad;Ambos sexos;2;2010;0,172432
Tasa de mortalidad;Ambos sexos;2;2009;0,156952
Tasa de mortalidad;Ambos sexos;2;2008;0,141632
Tasa de mortalidad;Ambos sexos;2;2007;0,183492
Tasa de mortalidad;Ambos sexos;2;2006;0,184245
Tasa de mortalidad;Ambos sexos;2;2005;0,212329
Tasa de mortalidad;Ambos sexos;2;2004;0,21057
Tasa de mortalidad;Ambos sexos;2;2003;0,325102
Tasa de mortalidad;Ambos sexos;2;2002;0,21487
Tasa de mortalidad;Ambos sexos;2;2001;0,238571
Tasa de mortalidad;Ambos sexos;2;2000;0,244126
Tasa de mortalidad;Ambos sexos;2;1999;0,221994
Tasa de mortalidad;Ambos sexos;2;1998;0,28892
Tasa de mortalidad;Ambos sexos;2;1997;0,294141
Tasa de mortalidad;Ambos sexos;2;1996;0,407937
Tasa de mortalidad;Ambos sexos;2;1995;0,32452
Tasa de mortalidad;Ambos sexos;2;1994;0,336546
Tasa de mortalidad;Ambos sexos;2;1993;0,386974
Tasa de mortalidad;Ambos sexos;2;1992;0,382124
Tasa de mortalidad;Ambos sexos;2;1991;0,401882
Tasa de mortalidad;Ambos sexos;3;2020;0,107564
Tasa de mortalidad;Ambos sexos;3;2019;0,099742
Tasa de mortalidad;Ambos sexos;3;2018;0,110334
Tasa de mortalidad;Ambos sexos;3;2017;0,09007
Tasa de mortalidad;Ambos sexos;3;2016;0,070189
Tasa de mortalidad;Ambos sexos;3;2015;0,084235
Tasa de mortalidad;Ambos sexos;3;2014;0,092445
Tasa de mortalidad;Ambos sexos;3;2013;0,09873
Tasa de mortalidad;Ambos sexos;3;2012;0,102568
Tasa de mortalidad;Ambos sexos;3;2011;0,123242
Tasa de mortalidad;Ambos sexos;3;2010;0,12432
Tasa de mortalidad;Ambos sexos;3;2009;0,161131
Tasa de mortalidad;Ambos sexos;3;2008;0,127154
Tasa de mortalidad;Ambos sexos;3;2007;0,168725
Tasa de mortalidad;Ambos sexos;3;2006;0,138156
Tasa de mortalidad;Ambos sexos;3;2005;0,15947
Tasa de mortalidad;Ambos sexos;3;2004;0,175501
Tasa de mortalidad;Ambos sexos;3;2003;0,193088
Tasa de mortalidad;Ambos sexos;3;2002;0,187615
Tasa de mortalidad;Ambos sexos;3;2001;0,188772
Tasa de mortalidad;Ambos sexos;3;2000;0,180622
Tasa de mortalidad;Ambos sexos;3;1999;0,172936
Tasa de mortalidad;Ambos sexos;3;1998;0,214642
Tasa de mortalidad;Ambos sexos;3;1997;0,264409
Tasa de mortalidad;Ambos sexos;3;1996;0,300819
Tasa de mortalidad;Ambos sexos;3;1995;0,259852
Tasa de mortalidad;Ambos sexos;3;1994;0,309288
Tasa de mortalidad;Ambos sexos;3;1993;0,30204
Tasa de mortalidad;Ambos sexos;3;1992;0,300084
Tasa de mortalidad;Ambos sexos;3;1991;0,298012
Tasa de mortalidad;Ambos sexos;4;2020;0,050483
Tasa de mortalidad;Ambos sexos;4;2019;0,099849
Tasa de mortalidad;Ambos sexos;4;2018;0,102936
Tasa de mortalidad;Ambos sexos;4;2017;0,069788
Tasa de mortalidad;Ambos sexos;4;2016;0,094807
Tasa de mortalidad;Ambos sexos;4;2015;0,060946
Tasa de mortalidad;Ambos sexos;4;2014;0,092844
Tasa de mortalidad;Ambos sexos;4;2013;0,104935
Tasa de mortalidad;Ambos sexos;4;2012;0,095911
Tasa de mortalidad;Ambos sexos;4;2011;0,09004
Tasa de mortalidad;Ambos sexos;4;2010;0,115929
Tasa de mortalidad;Ambos sexos;4;2009;0,140911
Tasa de mortalidad;Ambos sexos;4;2008;0,10981
Tasa de mortalidad;Ambos sexos;4;2007;0,114274
Tasa de mortalidad;Ambos sexos;4;2006;0,13924
Tasa de mortalidad;Ambos sexos;4;2005;0,149867
Tasa de mortalidad;Ambos sexos;4;2004;0,124087
Tasa de mortalidad;Ambos sexos;4;2003;0,14022
Tasa de mortalidad;Ambos sexos;4;2002;0,159387
Tasa de mortalidad;Ambos sexos;4;2001;0,160783
Tasa de mortalidad;Ambos sexos;4;2000;0,167035
Tasa de mortalidad;Ambos sexos;4;1999;0,187006
Tasa de mortalidad;Ambos sexos;4;1998;0,192645
Tasa de mortalidad;Ambos sexos;4;1997;0,211099
Tasa de mortalidad;Ambos sexos;4;1996;0,228868
Tasa de mortalidad;Ambos sexos;4;1995;0,2373
Tasa de mortalidad;Ambos sexos;4;1994;0,260353
Tasa de mortalidad;Ambos sexos;4;1993;0,241081
Tasa de mortalidad;Ambos sexos;4;1992;0,259789
Tasa de mortalidad;Ambos sexos;4;1991;0,239131
Tasa de mortalidad;Ambos sexos;5;2020;0,065132
Tasa de mortalidad;Ambos sexos;5;2019;0,058782
Tasa de mortalidad;Ambos sexos;5;2018;0,096059
Tasa de mortalidad;Ambos sexos;5;2017;0,06438
Tasa de mortalidad;Ambos sexos;5;2016;0,075568
Tasa de mortalidad;Ambos sexos;5;2015;0,084684
Tasa de mortalidad;Ambos sexos;5;2014;0,09135
Tasa de mortalidad;Ambos sexos;5;2013;0,078539
Tasa de mortalidad;Ambos sexos;5;2012;0,104082
Tasa de mortalidad;Ambos sexos;5;2011;0,083242
Tasa de mortalidad;Ambos sexos;5;2010;0,095079
Tasa de mortalidad;Ambos sexos;5;2009;0,109222
Tasa de mortalidad;Ambos sexos;5;2008;0,152142
Tasa de mortalidad;Ambos sexos;5;2007;0,105803
Tasa de mortalidad;Ambos sexos;5;2006;0,110852
Tasa de mortalidad;Ambos sexos;5;2005;0,134268
Tasa de mortalidad;Ambos sexos;5;2004;0,102724
Tasa de mortalidad;Ambos sexos;5;2003;0,13247
Tasa de mortalidad;Ambos sexos;5;2002;0,13677
Tasa de mortalidad;Ambos sexos;5;2001;0,149851
Tasa de mortalidad;Ambos sexos;5;2000;0,162205
Tasa de mortalidad;Ambos sexos;5;1999;0,158026
Tasa de mortalidad;Ambos sexos;5;1998;0,192826
Tasa de mortalidad;Ambos sexos;5;1997;0,178015
Tasa de mortalidad;Ambos sexos;5;1996;0,188524
Tasa de mortalidad;Ambos sexos;5;1995;0,174285
Tasa de mortalidad;Ambos sexos;5;1994;0,214896
Tasa de mortalidad;Ambos sexos;5;1993;0,187611
Tasa de mortalidad;Ambos sexos;5;1992;0,238086
Tasa de mortalidad;Ambos sexos;5;1991;0,234926
Tasa de mortalidad;Ambos sexos;6;2020;0,060473
Tasa de mortalidad;Ambos sexos;6;2019;0,055271
Tasa de mortalidad;Ambos sexos;6;2018;0,068252
Tasa de mortalidad;Ambos sexos;6;2017;0,079557
Tasa de mortalidad;Ambos sexos;6;2016;0,078475
Tasa de mortalidad;Ambos sexos;6;2015;0,069621
Tasa de mortalidad;Ambos sexos;6;2014;0,074845
Tasa de mortalidad;Ambos sexos;6;2013;0,092348
Tasa de mortalidad;Ambos sexos;6;2012;0,064979
Tasa de mortalidad;Ambos sexos;6;2011;0,111407
Tasa de mortalidad;Ambos sexos;6;2010;0,077547
Tasa de mortalidad;Ambos sexos;6;2009;0,082145
Tasa de mortalidad;Ambos sexos;6;2008;0,095697
Tasa de mortalidad;Ambos sexos;6;2007;0,106879
Tasa de mortalidad;Ambos sexos;6;2006;0,12033
Tasa de mortalidad;Ambos sexos;6;2005;0,106092
Tasa de mortalidad;Ambos sexos;6;2004;0,084159
Tasa de mortalidad;Ambos sexos;6;2003;0,146701
Tasa de mortalidad;Ambos sexos;6;2002;0,160824
Tasa de mortalidad;Ambos sexos;6;2001;0,110314
Tasa de mortalidad;Ambos sexos;6;2000;0,157711
Tasa de mortalidad;Ambos sexos;6;1999;0,172108
Tasa de mortalidad;Ambos sexos;6;1998;0,139967
Tasa de mortalidad;Ambos sexos;6;1997;0,202736
Tasa de mortalidad;Ambos sexos;6;1996;0,210477
Tasa de mortalidad;Ambos sexos;6;1995;0,179208
Tasa de mortalidad;Ambos sexos;6;1994;0,201049
Tasa de mortalidad;Ambos sexos;6;1993;0,208412
Tasa de mortalidad;Ambos sexos;6;1992;0,197155
Tasa de mortalidad;Ambos sexos;6;1991;0,217697
Tasa de mortalidad;Ambos sexos;7;2020;0,061397
Tasa de mortalidad;Ambos sexos;7;2019;0,06131
Tasa de mortalidad;Ambos sexos;7;2018;0,060419
Tasa de mortalidad;Ambos sexos;7;2017;0,055646
Tasa de mortalidad;Ambos sexos;7;2016;0,049727
Tasa de mortalidad;Ambos sexos;7;2015;0,074946
Tasa de mortalidad;Ambos sexos;7;2014;0,094585
Tasa de mortalidad;Ambos sexos;7;2013;0,089567
Tasa de mortalidad;Ambos sexos;7;2012;0,092844
Tasa de mortalidad;Ambos sexos;7;2011;0,071157
Tasa de mortalidad;Ambos sexos;7;2010;0,075501
Tasa de mortalidad;Ambos sexos;7;2009;0,095174
Tasa de mortalidad;Ambos sexos;7;2008;0,114483
Tasa de mortalidad;Ambos sexos;7;2007;0,099677
Tasa de mortalidad;Ambos sexos;7;2006;0,111668
Tasa de mortalidad;Ambos sexos;7;2005;0,115505
Tasa de mortalidad;Ambos sexos;7;2004;0,100308
Tasa de mortalidad;Ambos sexos;7;2003;0,112798
Tasa de mortalidad;Ambos sexos;7;2002;0,143214
Tasa de mortalidad;Ambos sexos;7;2001;0,109939
Tasa de mortalidad;Ambos sexos;7;2000;0,14644
Tasa de mortalidad;Ambos sexos;7;1999;0,129561
Tasa de mortalidad;Ambos sexos;7;1998;0,14455
Tasa de mortalidad;Ambos sexos;7;1997;0,155157
Tasa de mortalidad;Ambos sexos;7;1996;0,175669
Tasa de mortalidad;Ambos sexos;7;1995;0,158936
Tasa de mortalidad;Ambos sexos;7;1994;0,204963
Tasa de mortalidad;Ambos sexos;7;1993;0,180152
Tasa de mortalidad;Ambos sexos;7;1992;0,199513
Tasa de mortalidad;Ambos sexos;7;1991;0,206686
Tasa de mortalidad;Ambos sexos;8;2020;0,060826
Tasa de mortalidad;Ambos sexos;8;2019;0,049577
Tasa de mortalidad;Ambos sexos;8;2018;0,079974
Tasa de mortalidad;Ambos sexos;8;2017;0,083352
Tasa de mortalidad;Ambos sexos;8;2016;0,06702
Tasa de mortalidad;Ambos sexos;8;2015;0,080545
Tasa de mortalidad;Ambos sexos;8;2014;0,067304
Tasa de mortalidad;Ambos sexos;8;2013;0,080623
Tasa de mortalidad;Ambos sexos;8;2012;0,079514
Tasa de mortalidad;Ambos sexos;8;2011;0,064612
Tasa de mortalidad;Ambos sexos;8;2010;0,05522
Tasa de mortalidad;Ambos sexos;8;2009;0,069107
Tasa de mortalidad;Ambos sexos;8;2008;0,086767
Tasa de mortalidad;Ambos sexos;8;2007;0,095369
Tasa de mortalidad;Ambos sexos;8;2006;0,135801
Tasa de mortalidad;Ambos sexos;8;2005;0,093649
Tasa de mortalidad;Ambos sexos;8;2004;0,136663
Tasa de mortalidad;Ambos sexos;8;2003;0,106552
Tasa de mortalidad;Ambos sexos;8;2002;0,131661
Tasa de mortalidad;Ambos sexos;8;2001;0,130698
Tasa de mortalidad;Ambos sexos;8;2000;0,139087
Tasa de mortalidad;Ambos sexos;8;1999;0,109188
Tasa de mortalidad;Ambos sexos;8;1998;0,169007
Tasa de mortalidad;Ambos sexos;8;1997;0,094573
Tasa de mortalidad;Ambos sexos;8;1996;0,153223
Tasa de mortalidad;Ambos sexos;8;1995;0,173422
Tasa de mortalidad;Ambos sexos;8;1994;0,192816
Tasa de mortalidad;Ambos sexos;8;1993;0,216006
Tasa de mortalidad;Ambos sexos;8;1992;0,168536
Tasa de mortalidad;Ambos sexos;8;1991;0,179539
Tasa de mortalidad;Ambos sexos;9;2020;0,040998
Tasa de mortalidad;Ambos sexos;9;2019;0,06303
Tasa de mortalidad;Ambos sexos;9;2018;0,057277
Tasa de mortalidad;Ambos sexos;9;2017;0,062921
Tasa de mortalidad;Ambos sexos;9;2016;0,078432
Tasa de mortalidad;Ambos sexos;9;2015;0,081587
Tasa de mortalidad;Ambos sexos;9;2014;0,043482
Tasa de mortalidad;Ambos sexos;9;2013;0,090123
Tasa de mortalidad;Ambos sexos;9;2012;0,109788
Tasa de mortalidad;Ambos sexos;9;2011;0,086005
Tasa de mortalidad;Ambos sexos;9;2010;0,106662
Tasa de mortalidad;Ambos sexos;9;2009;0,08374
Tasa de mortalidad;Ambos sexos;9;2008;0,0845
Tasa de mortalidad;Ambos sexos;9;2007;0,079974
Tasa de mortalidad;Ambos sexos;9;2006;0,077073
Tasa de mortalidad;Ambos sexos;9;2005;0,096462
Tasa de mortalidad;Ambos sexos;9;2004;0,122657
Tasa de mortalidad;Ambos sexos;9;2003;0,123956
Tasa de mortalidad;Ambos sexos;9;2002;0,116505
Tasa de mortalidad;Ambos sexos;9;2001;0,135918
Tasa de mortalidad;Ambos sexos;9;2000;0,121075
Tasa de mortalidad;Ambos sexos;9;1999;0,148608
Tasa de mortalidad;Ambos sexos;9;1998;0,163891
Tasa de mortalidad;Ambos sexos;9;1997;0,142812
Tasa de mortalidad;Ambos sexos;9;1996;0,132882
Tasa de mortalidad;Ambos sexos;9;1995;0,160209
Tasa de mortalidad;Ambos sexos;9;1994;0,150608
Tasa de mortalidad;Ambos sexos;9;1993;0,157558
Tasa de mortalidad;Ambos sexos;9;1992;0,180788
Tasa de mortalidad;Ambos sexos;9;1991;0,18731
Tasa de mortalidad;Ambos sexos;10;2020;0,050465
Tasa de mortalidad;Ambos sexos;10;2019;0,076434
Tasa de mortalidad;Ambos sexos;10;2018;0,064575
Tasa de mortalidad;Ambos sexos;10;2017;0,062161
Tasa de mortalidad;Ambos sexos;10;2016;0,065169
Tasa de mortalidad;Ambos sexos;10;2015;0,072463
Tasa de mortalidad;Ambos sexos;10;2014;0,060867
Tasa de mortalidad;Ambos sexos;10;2013;0,062536
Tasa de mortalidad;Ambos sexos;10;2012;0,059532
Tasa de mortalidad;Ambos sexos;10;2011;0,097528
Tasa de mortalidad;Ambos sexos;10;2010;0,099108
Tasa de mortalidad;Ambos sexos;10;2009;0,095348
Tasa de mortalidad;Ambos sexos;10;2008;0,07389
Tasa de mortalidad;Ambos sexos;10;2007;0,114592
Tasa de mortalidad;Ambos sexos;10;2006;0,117307
Tasa de mortalidad;Ambos sexos;10;2005;0,093156
Tasa de mortalidad;Ambos sexos;10;2004;0,141828
Tasa de mortalidad;Ambos sexos;10;2003;0,128856
Tasa de mortalidad;Ambos sexos;10;2002;0,11945
Tasa de mortalidad;Ambos sexos;10;2001;0,174365
Tasa de mortalidad;Ambos sexos;10;2000;0,152657
Tasa de mortalidad;Ambos sexos;10;1999;0,184461
Tasa de mortalidad;Ambos sexos;10;1998;0,12779
Tasa de mortalidad;Ambos sexos;10;1997;0,14842
Tasa de mortalidad;Ambos sexos;10;1996;0,127943
Tasa de mortalidad;Ambos sexos;10;1995;0,171444
Tasa de mortalidad;Ambos sexos;10;1994;0,159048
Tasa de mortalidad;Ambos sexos;10;1993;0,17803
Tasa de mortalidad;Ambos sexos;10;1992;0,165764
Tasa de mortalidad;Ambos sexos;10;1991;0,221987
Tasa de mortalidad;Ambos sexos;11;2020;0,081789
Tasa de mortalidad;Ambos sexos;11;2019;0,077715
Tasa de mortalidad;Ambos sexos;11;2018;0,073849
Tasa de mortalidad;Ambos sexos;11;2017;0,060903
Tasa de mortalidad;Ambos sexos;11;2016;0,072348
Tasa de mortalidad;Ambos sexos;11;2015;0,06929
Tasa de mortalidad;Ambos sexos;11;2014;0,071283
Tasa de mortalidad;Ambos sexos;11;2013;0,075085
Tasa de mortalidad;Ambos sexos;11;2012;0,090777
Tasa de mortalidad;Ambos sexos;11;2011;0,071831
Tasa de mortalidad;Ambos sexos;11;2010;0,081002
Tasa de mortalidad;Ambos sexos;11;2009;0,092004
Tasa de mortalidad;Ambos sexos;11;2008;0,112581
Tasa de mortalidad;Ambos sexos;11;2007;0,090612
Tasa de mortalidad;Ambos sexos;11;2006;0,091643
Tasa de mortalidad;Ambos sexos;11;2005;0,11034
Tasa de mortalidad;Ambos sexos;11;2004;0,117251
Tasa de mortalidad;Ambos sexos;11;2003;0,136334
Tasa de mortalidad;Ambos sexos;11;2002;0,092004
Tasa de mortalidad;Ambos sexos;11;2001;0,127541
Tasa de mortalidad;Ambos sexos;11;2000;0,097631
Tasa de mortalidad;Ambos sexos;11;1999;0,152941
Tasa de mortalidad;Ambos sexos;11;1998;0,175336
Tasa de mortalidad;Ambos sexos;11;1997;0,169698
Tasa de mortalidad;Ambos sexos;11;1996;0,209193
Tasa de mortalidad;Ambos sexos;11;1995;0,142003
Tasa de mortalidad;Ambos sexos;11;1994;0,120144
Tasa de mortalidad;Ambos sexos;11;1993;0,146183
Tasa de mortalidad;Ambos sexos;11;1992;0,179459
Tasa de mortalidad;Ambos sexos;11;1991;0,180002
Tasa de mortalidad;Ambos sexos;12;2020;0,059858
Tasa de mortalidad;Ambos sexos;12;2019;0,045578
Tasa de mortalidad;Ambos sexos;12;2018;0,068686
Tasa de mortalidad;Ambos sexos;12;2017;0,080356
Tasa de mortalidad;Ambos sexos;12;2016;0,075454
Tasa de mortalidad;Ambos sexos;12;2015;0,077725
Tasa de mortalidad;Ambos sexos;12;2014;0,079566
Tasa de mortalidad;Ambos sexos;12;2013;0,097537
Tasa de mortalidad;Ambos sexos;12;2012;0,08967
Tasa de mortalidad;Ambos sexos;12;2011;0,078409
Tasa de mortalidad;Ambos sexos;12;2010;0,119687
Tasa de mortalidad;Ambos sexos;12;2009;0,116106
Tasa de mortalidad;Ambos sexos;12;2008;0,091473
Tasa de mortalidad;Ambos sexos;12;2007;0,116769
Tasa de mortalidad;Ambos sexos;12;2006;0,140003
Tasa de mortalidad;Ambos sexos;12;2005;0,127405
Tasa de mortalidad;Ambos sexos;12;2004;0,124776
Tasa de mortalidad;Ambos sexos;12;2003;0,163961
Tasa de mortalidad;Ambos sexos;12;2002;0,132913
Tasa de mortalidad;Ambos sexos;12;2001;0,144163
Tasa de mortalidad;Ambos sexos;12;2000;0,135693
Tasa de mortalidad;Ambos sexos;12;1999;0,133119
Tasa de mortalidad;Ambos sexos;12;1998;0,135499
Tasa de mortalidad;Ambos sexos;12;1997;0,140337
Tasa de mortalidad;Ambos sexos;12;1996;0,1784
Tasa de mortalidad;Ambos sexos;12;1995;0,172577
Tasa de mortalidad;Ambos sexos;12;1994;0,177142
Tasa de mortalidad;Ambos sexos;12;1993;0,165857
Tasa de mortalidad;Ambos sexos;12;1992;0,201129
Tasa de mortalidad;Ambos sexos;12;1991;0,201754
Tasa de mortalidad;Ambos sexos;13;2020;0,072849
Tasa de mortalidad;Ambos sexos;13;2019;0,10625
Tasa de mortalidad;Ambos sexos;13;2018;0,075817
Tasa de mortalidad;Ambos sexos;13;2017;0,085583
Tasa de mortalidad;Ambos sexos;13;2016;0,073207
Tasa de mortalidad;Ambos sexos;13;2015;0,099344
Tasa de mortalidad;Ambos sexos;13;2014;0,099829
Tasa de mortalidad;Ambos sexos;13;2013;0,098738
Tasa de mortalidad;Ambos sexos;13;2012;0,121998
Tasa de mortalidad;Ambos sexos;13;2011;0,114469
Tasa de mortalidad;Ambos sexos;13;2010;0,110674
Tasa de mortalidad;Ambos sexos;13;2009;0,116733
Tasa de mortalidad;Ambos sexos;13;2008;0,138816
Tasa de mortalidad;Ambos sexos;13;2007;0,139951
Tasa de mortalidad;Ambos sexos;13;2006;0,139465
Tasa de mortalidad;Ambos sexos;13;2005;0,143955
Tasa de mortalidad;Ambos sexos;13;2004;0,145078
Tasa de mortalidad;Ambos sexos;13;2003;0,172513
Tasa de mortalidad;Ambos sexos;13;2002;0,153798
Tasa de mortalidad;Ambos sexos;13;2001;0,15331
Tasa de mortalidad;Ambos sexos;13;2000;0,180384
Tasa de mortalidad;Ambos sexos;13;1999;0,181203
Tasa de mortalidad;Ambos sexos;13;1998;0,173677
Tasa de mortalidad;Ambos sexos;13;1997;0,20636
Tasa de mortalidad;Ambos sexos;13;1996;0,162082
Tasa de mortalidad;Ambos sexos;13;1995;0,185534
Tasa de mortalidad;Ambos sexos;13;1994;0,209149
Tasa de mortalidad;Ambos sexos;13;1993;0,206688
Tasa de mortalidad;Ambos sexos;13;1992;0,205507
Tasa de mortalidad;Ambos sexos;13;1991;0,253898
Tasa de mortalidad;Ambos sexos;14;2020;0,099579
Tasa de mortalidad;Ambos sexos;14;2019;0,105689
Tasa de mortalidad;Ambos sexos;14;2018;0,105812
Tasa de mortalidad;Ambos sexos;14;2017;0,122195
Tasa de mortalidad;Ambos sexos;14;2016;0,083638
Tasa de mortalidad;Ambos sexos;14;2015;0,095276
Tasa de mortalidad;Ambos sexos;14;2014;0,136981
Tasa de mortalidad;Ambos sexos;14;2013;0,078342
Tasa de mortalidad;Ambos sexos;14;2012;0,10025
Tasa de mortalidad;Ambos sexos;14;2011;0,173439
Tasa de mortalidad;Ambos sexos;14;2010;0,094761
Tasa de mortalidad;Ambos sexos;14;2009;0,109021
Tasa de mortalidad;Ambos sexos;14;2008;0,154068
Tasa de mortalidad;Ambos sexos;14;2007;0,175999
Tasa de mortalidad;Ambos sexos;14;2006;0,121268
Tasa de mortalidad;Ambos sexos;14;2005;0,17082
Tasa de mortalidad;Ambos sexos;14;2004;0,17685
Tasa de mortalidad;Ambos sexos;14;2003;0,185377
Tasa de mortalidad;Ambos sexos;14;2002;0,222294
Tasa de mortalidad;Ambos sexos;14;2001;0,179211
Tasa de mortalidad;Ambos sexos;14;2000;0,235242
Tasa de mortalidad;Ambos sexos;14;1999;0,173008
Tasa de mortalidad;Ambos sexos;14;1998;0,225984
Tasa de mortalidad;Ambos sexos;14;1997;0,210013
Tasa de mortalidad;Ambos sexos;14;1996;0,243686
Tasa de mortalidad;Ambos sexos;14;1995;0,248397
Tasa de mortalidad;Ambos sexos;14;1994;0,240812
Tasa de mortalidad;Ambos sexos;14;1993;0,268673
Tasa de mortalidad;Ambos sexos;14;1992;0,252453
Tasa de mortalidad;Ambos sexos;14;1991;0,287404
Tasa de mortalidad;Ambos sexos;15;2020;0,104897
Tasa de mortalidad;Ambos sexos;15;2019;0,102791
Tasa de mortalidad;Ambos sexos;15;2018;0,123489
Tasa de mortalidad;Ambos sexos;15;2017;0,105106
Tasa de mortalidad;Ambos sexos;15;2016;0,13249
Tasa de mortalidad;Ambos sexos;15;2015;0,123336
Tasa de mortalidad;Ambos sexos;15;2014;0,117595
Tasa de mortalidad;Ambos sexos;15;2013;0,132981
Tasa de mortalidad;Ambos sexos;15;2012;0,144911
Tasa de mortalidad;Ambos sexos;15;2011;0,134412
Tasa de mortalidad;Ambos sexos;15;2010;0,11785
Tasa de mortalidad;Ambos sexos;15;2009;0,194064
Tasa de mortalidad;Ambos sexos;15;2008;0,193454
Tasa de mortalidad;Ambos sexos;15;2007;0,233938
Tasa de mortalidad;Ambos sexos;15;2006;0,229645
Tasa de mortalidad;Ambos sexos;15;2005;0,255854
Tasa de mortalidad;Ambos sexos;15;2004;0,245452
Tasa de mortalidad;Ambos sexos;15;2003;0,256501
Tasa de mortalidad;Ambos sexos;15;2002;0,279785
Tasa de mortalidad;Ambos sexos;15;2001;0,244634
Tasa de mortalidad;Ambos sexos;15;2000;0,292161
Tasa de mortalidad;Ambos sexos;15;1999;0,312431
Tasa de mortalidad;Ambos sexos;15;1998;0,292414
Tasa de mortalidad;Ambos sexos;15;1997;0,286583
Tasa de mortalidad;Ambos sexos;15;1996;0,269671
Tasa de mortalidad;Ambos sexos;15;1995;0,247759
Tasa de mortalidad;Ambos sexos;15;1994;0,26714
Tasa de mortalidad;Ambos sexos;15;1993;0,317527
Tasa de mortalidad;Ambos sexos;15;1992;0,323643
Tasa de mortalidad;Ambos sexos;15;1991;0,356389
Tasa de mortalidad;Ambos sexos;16;2020;0,12437
